# Lensing power spectrum, taken from the Planck PR2
# We extrapolated the multipoles 0-7 because they are set to zero
# in the original release
Cl,ell
9.2768e-18,3.7300e+02
9.1472e-18,3.7400e+02
9.0198e-18,3.7500e+02
8.8943e-18,3.7600e+02
8.7710e-18,3.7700e+02
8.6496e-18,3.7800e+02
8.5300e-18,3.7900e+02
8.4126e-18,3.8000e+02
8.2971e-18,3.8100e+02
8.1834e-18,3.8200e+02
8.0713e-18,3.8300e+02
7.9613e-18,3.8400e+02
7.8528e-18,3.8500e+02
7.7462e-18,3.8600e+02
7.6412e-18,3.8700e+02
7.5377e-18,3.8800e+02
7.4361e-18,3.8900e+02
7.3359e-18,3.9000e+02
7.2374e-18,3.9100e+02
7.1404e-18,3.9200e+02
7.0450e-18,3.9300e+02
6.9510e-18,3.9400e+02
6.8584e-18,3.9500e+02
6.7673e-18,3.9600e+02
6.6776e-18,3.9700e+02
6.5894e-18,3.9800e+02
6.5024e-18,3.9900e+02
6.4167e-18,4.0000e+02
6.3325e-18,4.0100e+02
6.2494e-18,4.0200e+02
6.1676e-18,4.0300e+02
6.0871e-18,4.0400e+02
6.0078e-18,4.0500e+02
5.9298e-18,4.0600e+02
5.8528e-18,4.0700e+02
5.7770e-18,4.0800e+02
5.7025e-18,4.0900e+02
5.6290e-18,4.1000e+02
5.5565e-18,4.1100e+02
5.4852e-18,4.1200e+02
5.4149e-18,4.1300e+02
5.3456e-18,4.1400e+02
5.2775e-18,4.1500e+02
5.2103e-18,4.1600e+02
5.1442e-18,4.1700e+02
5.0790e-18,4.1800e+02
5.0147e-18,4.1900e+02
4.9515e-18,4.2000e+02
4.8892e-18,4.2100e+02
4.8277e-18,4.2200e+02
4.7672e-18,4.2300e+02
4.7075e-18,4.2400e+02
4.6487e-18,4.2500e+02
4.5908e-18,4.2600e+02
4.5337e-18,4.2700e+02
4.4774e-18,4.2800e+02
4.4220e-18,4.2900e+02
4.3673e-18,4.3000e+02
4.3134e-18,4.3100e+02
4.2603e-18,4.3200e+02
4.2080e-18,4.3300e+02
4.1563e-18,4.3400e+02
4.1055e-18,4.3500e+02
4.0554e-18,4.3600e+02
4.0059e-18,4.3700e+02
3.9573e-18,4.3800e+02
3.9091e-18,4.3900e+02
3.8619e-18,4.4000e+02
3.8151e-18,4.4100e+02
3.7691e-18,4.4200e+02
3.7237e-18,4.4300e+02
3.6790e-18,4.4400e+02
3.6349e-18,4.4500e+02
3.5914e-18,4.4600e+02
3.5484e-18,4.4700e+02
3.5062e-18,4.4800e+02
3.4645e-18,4.4900e+02
3.4233e-18,4.5000e+02
3.3828e-18,4.5100e+02
3.3428e-18,4.5200e+02
3.3033e-18,4.5300e+02
3.2643e-18,4.5400e+02
3.2260e-18,4.5500e+02
3.1881e-18,4.5600e+02
3.1508e-18,4.5700e+02
3.1139e-18,4.5800e+02
3.0776e-18,4.5900e+02
3.0417e-18,4.6000e+02
3.0064e-18,4.6100e+02
2.9716e-18,4.6200e+02
2.9372e-18,4.6300e+02
2.9032e-18,4.6400e+02
2.8698e-18,4.6500e+02
2.8368e-18,4.6600e+02
2.8041e-18,4.6700e+02
2.7719e-18,4.6800e+02
2.7402e-18,4.6900e+02
2.7089e-18,4.7000e+02
2.6780e-18,4.7100e+02
2.6476e-18,4.7200e+02
2.6176e-18,4.7300e+02
2.5879e-18,4.7400e+02
2.5586e-18,4.7500e+02
2.5297e-18,4.7600e+02
2.5011e-18,4.7700e+02
2.4731e-18,4.7800e+02
2.4453e-18,4.7900e+02
2.4179e-18,4.8000e+02
2.3907e-18,4.8100e+02
2.3641e-18,4.8200e+02
2.3377e-18,4.8300e+02
2.3118e-18,4.8400e+02
2.2861e-18,4.8500e+02
2.2608e-18,4.8600e+02
2.2357e-18,4.8700e+02
2.2110e-18,4.8800e+02
2.1867e-18,4.8900e+02
2.1626e-18,4.9000e+02
2.1388e-18,4.9100e+02
2.1154e-18,4.9200e+02
2.0923e-18,4.9300e+02
2.0694e-18,4.9400e+02
2.0468e-18,4.9500e+02
2.0246e-18,4.9600e+02
2.0025e-18,4.9700e+02
1.9808e-18,4.9800e+02
1.9594e-18,4.9900e+02
1.9382e-18,5.0000e+02
1.9173e-18,5.0100e+02
1.8967e-18,5.0200e+02
1.8763e-18,5.0300e+02
1.8561e-18,5.0400e+02
1.8363e-18,5.0500e+02
1.8167e-18,5.0600e+02
1.7973e-18,5.0700e+02
1.7781e-18,5.0800e+02
1.7592e-18,5.0900e+02
1.7405e-18,5.1000e+02
1.7221e-18,5.1100e+02
1.7039e-18,5.1200e+02
1.6859e-18,5.1300e+02
1.6681e-18,5.1400e+02
1.6506e-18,5.1500e+02
1.6332e-18,5.1600e+02
1.6161e-18,5.1700e+02
1.5992e-18,5.1800e+02
1.5825e-18,5.1900e+02
1.5660e-18,5.2000e+02
1.5497e-18,5.2100e+02
1.5336e-18,5.2200e+02
1.5177e-18,5.2300e+02
1.5020e-18,5.2400e+02
1.4865e-18,5.2500e+02
1.4711e-18,5.2600e+02
1.4559e-18,5.2700e+02
1.4410e-18,5.2800e+02
1.4261e-18,5.2900e+02
1.4115e-18,5.3000e+02
1.3971e-18,5.3100e+02
1.3829e-18,5.3200e+02
1.3687e-18,5.3300e+02
1.3548e-18,5.3400e+02
1.3410e-18,5.3500e+02
1.3274e-18,5.3600e+02
1.3140e-18,5.3700e+02
1.3007e-18,5.3800e+02
1.2876e-18,5.3900e+02
