# Lensing power spectrum, taken from the Planck PR2
# We extrapolated the multipoles 0-7 because they are set to zero
# in the original release
Cl,Nl,ell
8.6160e-08,4.3338e-07,2.1000e+02
8.5743e-08,4.3567e-07,2.1100e+02
8.5330e-08,4.3797e-07,2.1200e+02
8.4922e-08,4.4027e-07,2.1300e+02
8.4515e-08,4.4258e-07,2.1400e+02
8.4113e-08,4.4489e-07,2.1500e+02
8.3714e-08,4.4721e-07,2.1600e+02
8.3317e-08,4.4953e-07,2.1700e+02
8.2922e-08,4.5186e-07,2.1800e+02
8.2533e-08,4.5419e-07,2.1900e+02
8.2145e-08,4.5653e-07,2.2000e+02
8.1760e-08,4.5888e-07,2.2100e+02
8.1378e-08,4.6123e-07,2.2200e+02
8.1000e-08,4.6359e-07,2.2300e+02
8.0624e-08,4.6596e-07,2.2400e+02
8.0252e-08,4.6833e-07,2.2500e+02
7.9881e-08,4.7071e-07,2.2600e+02
7.9514e-08,4.7310e-07,2.2700e+02
7.9149e-08,4.7550e-07,2.2800e+02
7.8788e-08,4.7790e-07,2.2900e+02
7.8428e-08,4.8031e-07,2.3000e+02
7.8073e-08,4.8273e-07,2.3100e+02
7.7718e-08,4.8515e-07,2.3200e+02
7.7368e-08,4.8758e-07,2.3300e+02
7.7019e-08,4.9001e-07,2.3400e+02
7.6674e-08,4.9245e-07,2.3500e+02
7.6330e-08,4.9489e-07,2.3600e+02
7.5990e-08,4.9733e-07,2.3700e+02
7.5651e-08,4.9977e-07,2.3800e+02
7.5315e-08,5.0222e-07,2.3900e+02
7.4982e-08,5.0467e-07,2.4000e+02
7.4651e-08,5.0712e-07,2.4100e+02
7.4322e-08,5.0957e-07,2.4200e+02
7.3997e-08,5.1203e-07,2.4300e+02
7.3672e-08,5.1449e-07,2.4400e+02
7.3351e-08,5.1695e-07,2.4500e+02
7.3031e-08,5.1942e-07,2.4600e+02
7.2714e-08,5.2189e-07,2.4700e+02
7.2400e-08,5.2436e-07,2.4800e+02
7.2087e-08,5.2683e-07,2.4900e+02
7.1776e-08,5.2931e-07,2.5000e+02
7.1468e-08,5.3178e-07,2.5100e+02
7.1162e-08,5.3426e-07,2.5200e+02
7.0857e-08,5.3673e-07,2.5300e+02
7.0554e-08,5.3920e-07,2.5400e+02
7.0254e-08,5.4166e-07,2.5500e+02
6.9955e-08,5.4412e-07,2.5600e+02
