#This file contains the CIB auto-power spectra for different Planck frequencies from \ell=2 to \ell=2000
#First column is \ell, second, third, fourth, fifth and sixth columns are CIB auto power spectra for 217 GHz, 353 GHz, 545 GHz, 857 GHz and 3000 GHz respectively.
# Units for auto power spectra are Jy^2/sr
2.300000000000000000e+01 7.812370328820821896e+02 1.416557694724469548e+04 1.210448049528396805e+05 5.844054649349789834e+05 6.951973708374708658e+05
2.400000000000000000e+01 7.973045796146006978e+02 1.444819458625751940e+04 1.232169941772158199e+05 5.921001627153961454e+05 6.775827076479532989e+05
2.500000000000000000e+01 8.124793871054944248e+02 1.471432031923916657e+04 1.252454322476696980e+05 5.991410771426791325e+05 6.614763340399863664e+05
2.600000000000000000e+01 8.267880274816551491e+02 1.496445763810891003e+04 1.271345460863315675e+05 6.055436866265468998e+05 6.464450483928499743e+05
2.700000000000000000e+01 8.402560172170034321e+02 1.519908051640179110e+04 1.288883015923958010e+05 6.113173962336357217e+05 6.318666250528902747e+05
2.800000000000000000e+01 8.529123243596895918e+02 1.541873481079904923e+04 1.305116652246476733e+05 6.164842841254066443e+05 6.174609755753054051e+05
2.900000000000000000e+01 8.647873892040015562e+02 1.562399716766789061e+04 1.320103737889854528e+05 6.210810351990758209e+05 6.034257604748633457e+05
3.000000000000000000e+01 8.759161757820597813e+02 1.581553180785669974e+04 1.333910338605063152e+05 6.251506629177882569e+05 5.900269766909030732e+05
3.100000000000000000e+01 8.863278501290110398e+02 1.599388384559859878e+04 1.346588622397798754e+05 6.287241763499821536e+05 5.773689686535900692e+05
3.200000000000000000e+01 8.960453985752499193e+02 1.615948618600459122e+04 1.358177728782785998e+05 6.318208537518320372e+05 5.654107707470103633e+05
3.300000000000000000e+01 9.050973353604574640e+02 1.631288435751907127e+04 1.368731144410628767e+05 6.344691071993606165e+05 5.540081472809809493e+05
3.400000000000000000e+01 9.135019486649265446e+02 1.645441145891378983e+04 1.378273798379509535e+05 6.366740995982052991e+05 5.429752894807673292e+05
3.500000000000000000e+01 9.212853216119093531e+02 1.658456932277678789e+04 1.386856575138527260e+05 6.384651532996632159e+05 5.322416959907122655e+05
3.600000000000000000e+01 9.284664390816928972e+02 1.670370390868036702e+04 1.394507687844921893e+05 6.398528686850136146e+05 5.217299261798213702e+05
3.700000000000000000e+01 9.350714324206549009e+02 1.681231762594011889e+04 1.401275781183562067e+05 6.408645605730895186e+05 5.114838898939977516e+05
3.800000000000000000e+01 9.411220037708339987e+02 1.691082015587582282e+04 1.407201537360226503e+05 6.415245171793682966e+05 5.015585727792886319e+05
