# Effective beam window function
# The map is already deconvolved by the pixel window,
# so the window function here is the only correction needed.
Bl,ell
0.9017726,735
0.9015154,736
0.901259,737
0.90100384,738
0.90074956,739
0.9004938,740
0.9002424,741
0.89998674,742
0.8997312,743
0.89947474,744
0.89921737,745
0.89896154,746
0.8987053,747
0.8984481,748
0.898188,749
0.89793193,750
0.8976766,751
0.8974147,752
0.8971545,753
0.89690036,754
0.89664394,755
0.89638555,756
0.8961253,757
0.8958658,758
0.89560884,759
0.8953491,760
0.8950911,761
0.89483243,762
0.8945701,763
0.89430946,764
0.89404833,765
0.89378655,766
0.8935246,767
0.893267,768
0.89300686,769
0.89274305,770
0.89248174,771
0.8922185,772
0.89195484,773
0.8916893,774
0.8914316,775
0.89116657,776
0.8909031,777
0.8906386,778
0.8903719,779
0.8901083,780
0.8898455,781
0.889583,782
0.889315,783
0.88904953,784
0.8887823,785
0.88851994,786
0.88825434,787
0.88798976,788
0.8877214,789
0.8874535,790
0.88719064,791
0.88692164,792
0.886653,793
0.8863868,794
0.8861138,795
0.8858466,796
0.8855726,797
0.885301,798
0.88503003,799
0.88475525,800
0.8844839,801
0.88421416,802
0.8839414,803
0.88366956,804
0.8833986,805
0.8831206,806
0.88284767,807
0.8825722,808
0.88229835,809
0.8820201,810
0.8817461,811
0.8814697,812
0.8811923,813
0.8809102,814
0.88062936,815
0.8803509,816
0.88007754,817
0.8797998,818
0.8795197,819
0.8792417,820
0.8789636,821
0.8786844,822
0.8784084,823
0.8781326,824
0.8778553,825
0.8775725,826
0.87729526,827
0.87702096,828
0.87674326,829
0.87647074,830
0.8761926,831
0.8759129,832
0.8756367,833
0.8753575,834
0.87507665,835
0.8747973,836
0.8745091,837
0.8742268,838
0.8739429,839
0.8736684,840
0.8733906,841
0.8731094,842
0.8728233,843
0.87254256,844
0.8722568,845
0.8719767,846
0.8716915,847
0.8714121,848
0.8711294,849
0.87084615,850
0.87056744,851
0.8702854,852
0.86999744,853
0.86971575,854
0.8694332,855
0.869146,856
0.86886364,857
0.8685807,858
0.8682933,859
0.86800736,860
0.86772215,861
0.86743057,862
0.86714846,863
0.8668632,864
0.86657786,865
0.8662926,866
0.86600363,867
0.86571395,868
0.86542773,869
0.8651435,870
0.8648561,871
0.8645692,872
0.8642788,873
0.86398923,874
0.8636963,875
0.8634066,876
0.8631213,877
0.86283666,878
0.8625451,879
0.8622595,880
0.8619668,881
0.86167604,882
0.8613871,883
0.8610933,884
0.86079943,885
0.8605054,886
0.86021394,887
0.85992265,888
0.8596349,889
0.8593479,890
0.8590569,891
0.85875803,892
0.8584637,893
0.85817635,894
0.85788345,895
0.85758835,896
0.8572964,897
0.85700244,898
0.8567039,899
0.85640615,900
0.85610855,901
0.8558111,902
0.85551655,903
0.8552201,904
0.8549207,905
0.8546229,906
0.85432583,907
0.8540281,908
0.8537279,909
0.8534315,910
0.85313386,911
0.8528347,912
0.8525407,913
0.85223943,914
0.8519403,915
0.85164136,916
0.8513415,917
0.8510447,918
0.8507438,919
0.85044354,920
0.8501425,921
0.8498391,922
0.8495407,923
0.8492432,924
0.84894305,925
0.8486447,926
0.8483497,927
0.8480542,928
0.8477539,929
0.8474565,930
0.84715253,931
0.84685194,932
0.84655446,933
0.846253,934
0.8459466,935
0.8456475,936
0.8453498,937
0.8450486,938
0.8447504,939
0.84444773,940
0.8441444,941
0.84383625,942
0.8435384,943
0.843235,944
0.8429263,945
0.84262,946
0.8423142,947
0.84200823,948
0.8417003,949
0.8413934,950
0.8410869,951
0.84077793,952
0.8404717,953
0.8401579,954
0.8398471,955
0.8395415,956
0.83923256,957
0.8389235,958
0.83861625,959
0.8383059,960
0.83799946,961
0.8376875,962
0.8373779,963
0.837065,964
0.8367538,965
0.8364383,966
0.8361238,967
0.83581084,968
0.83549887,969
0.8351909,970
0.83488,971
0.83456844,972
0.83426094,973
0.8339498,974
0.8336397,975
0.83333075,976
0.83302224,977
0.8327091,978
0.8323974,979
0.8320846,980
0.8317719,981
0.8314654,982
0.8311559,983
0.83084184,984
0.8305301,985
0.8302251,986
0.8299153,987
0.8296014,988
0.829293,989
0.82898515,990
0.8286741,991
0.8283593,992
0.8280496,993
0.8277334,994
0.8274188,995
0.8271039,996
0.82679325,997
0.8264852,998
0.8261676,999
0.82585067,1000
0.82553715,1001
0.82522357,1002
0.82490295,1003
0.8245853,1004
0.824272,1005
0.8239613,1006
0.82364845,1007
0.8233283,1008
0.82301366,1009
0.8226917,1010
0.8223759,1011
0.8220554,1012
0.8217391,1013
0.8214189,1014
0.8211029,1015
0.8207821,1016
0.8204657,1017
0.82014763,1018
0.8198272,1019
0.81950784,1020
0.8191808,1021
0.81886244,1022
0.81854,1023
0.81821966,1024
0.8178958,1025
0.81757116,1026
0.81724566,1027
0.8169201,1028
0.8165975,1029
0.81627357,1030
0.8159536,1031
0.8156333,1032
0.8153091,1033
0.8149854,1034
0.81466436,1035
0.81434244,1036
0.8140146,1037
0.81369144,1038
0.81336385,1039
0.81303704,1040
0.81270874,1041
0.8123799,1042
0.81205773,1043
0.8117306,1044
0.8114058,1045
0.8110819,1046
0.81076115,1047
0.810433,1048
0.8101012,1049
0.80977577,1050
0.80945295,1051
0.80912787,1052
0.80880105,1053
0.80848336,1054
0.80815756,1055
0.80783415,1056
0.80750895,1057
0.8071851,1058
0.80686414,1059
0.80653965,1060
0.80621994,1061
0.8058951,1062
0.80556947,1063
0.8052387,1064
0.8049124,1065
0.80458057,1066
0.80425155,1067
0.80391514,1068
0.80358404,1069
0.8032548,1070
0.8029227,1071
0.80259573,1072
0.8022597,1073
0.8019325,1074
0.8016009,1075
0.80127096,1076
0.8009454,1077
0.80061805,1078
0.80029494,1079
0.79996747,1080
0.7996376,1081
0.7993065,1082
0.7989746,1083
0.79864085,1084
0.79831207,1085
0.7979754,1086
0.7976348,1087
0.7972979,1088
0.79696375,1089
0.79663455,1090
0.79629946,1091
0.7959613,1092
0.795632,1093
0.7952984,1094
0.79496825,1095
0.79463565,1096
0.79430175,1097
0.79396725,1098
0.7936401,1099
0.7933115,1100
0.79298,1101
0.79264617,1102
0.792314,1103
0.7919768,1104
0.79164165,1105
0.7913086,1106
0.790971,1107
0.79063874,1108
0.7903081,1109
0.7899733,1110
0.78963375,1111
0.7892942,1112
0.78895414,1113
0.7886126,1114
0.78827435,1115
0.787935,1116
0.7875979,1117
0.7872582,1118
