# CIBxCMB lensing power spectra
# Lensing potential phi is used (not kappa)
# Columns are ell and Cl (not l^3*Cl)
# Units are Jy
Cl,ell
3.8608009873056474e-06,157
3.5129097125877286e-06,158
3.08569485287391e-06,159
2.722427473081152e-06,160
2.539685237547422e-06,161
2.5589804552556154e-06,162
2.7072963454996263e-06,163
2.8794305341713233e-06,164
3.0031187743037335e-06,165
3.0577915668091755e-06,166
3.0515822452461363e-06,167
2.9968958860582777e-06,168
2.908796622156428e-06,169
2.811883468536791e-06,170
2.731179723699286e-06,171
2.6702661846624736e-06,172
2.6051404468241464e-06,173
2.5089564027768424e-06,174
2.385351841961513e-06,175
2.273211355658502e-06,176
2.2140755526279504e-06,177
2.21402313869135e-06,178
2.2389583129078275e-06,179
2.2480259625773227e-06,180
2.231481089374947e-06,181
2.216168536138695e-06,182
2.2347336121815356e-06,183
2.2894307244331825e-06,184
2.345265379607156e-06,185
2.358802304285631e-06,186
2.315654291168127e-06,187
2.241545375914684e-06,188
2.176277132856658e-06,189
2.1351556125826365e-06,190
2.0954144492657364e-06,191
2.0217796648471725e-06,192
1.906691338913624e-06,193
1.7853917855477017e-06,194
1.7107424299074887e-06,195
1.7122363418622847e-06,196
1.7770874671464442e-06,197
1.8662899562725197e-06,198
1.9445778373454073e-06,199
1.9961990086614657e-06,200
2.0202283050115813e-06,201
2.0201203518818402e-06,202
2.0002318472767506e-06,203
1.966965833772679e-06,204
1.927049271019573e-06,205
1.8841081991665405e-06,206
1.8401366799672391e-06,207
1.800620595996809e-06,208
1.773396548676771e-06,209
1.7577272755472198e-06,210
1.7356961888866276e-06,211
1.6809606529469958e-06,212
1.5823351029453812e-06,213
1.4607840767991041e-06,214
1.3613817354058428e-06,215
1.3247385668298796e-06,216
1.36072332923398e-06,217
1.4432962056660365e-06,218
1.5265519346881292e-06,219
1.5685783776163367e-06,220
1.5499355130727258e-06,221
1.48016589384369e-06,222
1.3907233448420067e-06,223
1.3170200315195632e-06,224
1.2786615680277935e-06,225
1.2705814405526608e-06,226
1.271478914344732e-06,227
1.2623443490918624e-06,228
1.2396992349825575e-06,229
1.2140759179851192e-06,230
1.1980070456445686e-06,231
1.1954534914603749e-06,232
1.2002045173621457e-06,233
1.2013839147883132e-06,234
1.1898138277824006e-06,235
1.1615457334618864e-06,236
1.1187779056792418e-06,237
1.069191067758011e-06,238
1.023637409461553e-06,239
9.92219516800372e-07,240
9.802430695250599e-07,241
9.86073143743363e-07,242
1.0017371315281672e-06,243
1.015782979020376e-06,244
1.017680911397919e-06,245
1.0029845275614019e-06,246
9.77186898367309e-07,247
9.547861746556859e-07,248
9.514530341470631e-07,249
9.723083922485929e-07,250
1.004523876871554e-06,251
1.0219941792933424e-06,252
1.001764853875855e-06,253
9.41589680039871e-07,254
8.646508119307782e-07,255
8.058092845900435e-07,256
7.883078318198856e-07,257
8.084450156871414e-07,258
8.401597732557766e-07,259
8.556731544622776e-07,260
8.457025313793276e-07,261
8.240736408432801e-07,262
8.150730657520679e-07,263
8.35264616908576e-07,264
8.835931786748904e-07,265
9.444352421434942e-07,266
9.976489770934564e-07,267
1.0268800929925535e-06,268
1.0226549571544005e-06,269
9.82874944263947e-07,270
9.13950059160573e-07,271
8.317892235035329e-07,272
7.589909858946901e-07,273
7.167135548780924e-07,274
7.148361884694214e-07,275
7.468663063835567e-07,276
7.935772859073368e-07,277
8.334707375051765e-07,278
8.535003901219017e-07,279
8.534736078060692e-07,280
8.420275837098034e-07,281
8.278719345738938e-07,282
8.130334019811513e-07,283
7.928447518831945e-07,284
7.617787323512551e-07,285
7.194917055937348e-07,286
6.717692564220166e-07,287
6.261690235372124e-07,288
5.87082320213239e-07,289
5.548315749832988e-07,290
5.286746673601313e-07,291
5.095043478136367e-07,292
4.989868191858826e-07,293
4.964697774872872e-07,294
4.977736764327314e-07,295
4.978150780851403e-07,296
4.945283750460168e-07,297
4.899270358640463e-07,298
4.871571750264584e-07,299
4.866319645972008e-07,300
4.85216763626652e-07,301
4.791882473685855e-07,302
4.67874685694422e-07,303
4.54389009494984e-07,304
4.42956027569958e-07,305
4.3567752772915505e-07,306
4.318264530308971e-07,307
4.2989002309478926e-07,308
4.2973913614819336e-07,309
4.3245255708988655e-07,310
4.3815323991613843e-07,311
4.445263653976446e-07,312
4.4793883787824753e-07,313
4.461801572643927e-07,314
4.4006989609981615e-07,315
4.3241531128567747e-07,316
4.2552237088427713e-07,317
4.196858444524558e-07,318
4.137938260606058e-07,319
4.070962031884766e-07,320
4.003953878771253e-07,321
3.956984249339663e-07,322
3.946016236034673e-07,323
3.965167307874249e-07,324
3.981362122039694e-07,325
3.950495569511506e-07,326
3.8492202571843346e-07,327
3.6994716218327864e-07,328
3.5619551077662354e-07,329
3.497703222439947e-07,330
3.525425041509373e-07,331
3.608373512098115e-07,332
3.680745348721289e-07,333
3.69276627053223e-07,334
3.642382390085026e-07,335
3.5743547277130284e-07,336
3.549523290622294e-07,337
3.6040131364958144e-07,338
3.724687275107763e-07,339
3.858973520493536e-07,340
3.952884294467579e-07,341
3.985399839756839e-07,342
3.9678683619969623e-07,343
3.911903267827914e-07,344
3.805561176057545e-07,345
3.6309868236141313e-07,346
3.4075067640836014e-07,347
3.207048081482271e-07,348
3.111866515264801e-07,349
3.147437858430486e-07,350
3.2554722662428726e-07,351
3.335287681092224e-07,352
3.316424183833993e-07,353
3.201496133664125e-07,354
3.054315064224936e-07,355
2.9567586987703e-07,356
2.9692340937442156e-07,357
3.1080470946043476e-07,358
